,D006262
818__1308_47678,-0.0076583290180670905
853__39485,-0.03951863169844175
1735__88431_411489,0.01592648547008643
28116__204516,-0.07894306219981047
40545__33039_360807,-0.12628176905755745
100886__165179_310298,0.1735705327683107
674529__218538_410072,-0.06943332427683442
823__39483,0.1867657684849224
28111__208479,0.18474437450050066
46228__821_46506,0.06585635822847222
166486__261299,0.13403853240328384
39777__357276,-0.07695138568943541
1308__47678,-0.1559664953298227
1681__74426_487173,0.09988848420841283
301301__820_29466,0.08240683062000956
39496__28118_39486,-0.3821901829094827
1623__40520_329854,-0.0069001458948814145
338188__562_39491,-0.08915060121130491
1304__239935,-0.166224101826239
165179__310298,0.11023989940261057
1318__387090,-0.26455942948422734
33039__360807,-0.07087016610444591
88431__411489,-0.03409599360344442
658082__39488_751585,-0.08018839602609314
1502__214856,-0.2871957980510467
817__39492,-0.042181265523049606
150055__216816_487174,0.015114753754026147
218538__410072,0.1233109991948672
729__46503,-0.12519333308659789
1531__40518_658081,0.2757821646639895
820__29466,0.051607548446094505
821__46506,0.16160909774037546
562__39491,-0.10138004499010149
74426__487173,-0.3405940550190548
40520__329854,-0.3180510919007198
39488__751585,-0.14109087307474355
29361__33038_246787,-1.6333916755024029e-06
28118__39486,0.5859649104318324
291644__28117_457412,-0.09606697285165844
216816__487174,-0.125810699357467
328814__1680_45851,0.003042782582376167
40518__658081,0.34556176987403014
33038__246787,-0.1884631437094834
28117__457412,0.1468847496466761
1680__45851,-0.4597708586868766
